ticker,market,sector,name,market_cap,rank,as_of
310210,KOSDAQ,표적치료제,보로노이,4064500000000.0,118,2025-12-31
302440,KOSPI,백신 제품 및 제제,SK바이오사이언스,4061000000000.0,119,2025-12-31
108490,KOSDAQ,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",로보티즈,4037700000000.0,120,2025-12-31
347850,KOSDAQ,대사성질환 치료제 등,디앤디파마텍,3976800000000.0,121,2025-12-31
111770,KOSPI,스포츠의류,영원무역,3917800000000.0,122,2025-12-31
035250,KOSPI,"카지노,관광호텔,골프장,스키장,체육시설 운영",강원랜드,3909600000000.0,123,2025-12-31
000090,KOSDAQ,ADC 기반 항암제,에임드바이오,3838500000000.0,124,2025-12-31
036460,KOSPI,"액화천연가스 공급,제조,도매,개발",한국가스공사,3811200000000.0,125,2025-12-31
214370,KOSDAQ,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",케어젠,3788700000000.0,126,2025-12-31
002380,KOSPI,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",KCC,3770800000000.0,127,2025-12-31
082740,KOSPI,"대형선박용엔진,내연발전엔진",한화엔진,3623400000000.0,128,2025-12-31
052690,KOSPI,원자력발전소 설계 등,한전기술,3585800000000.0,129,2025-12-31
017800,KOSPI,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",현대엘리베이터,3543800000000.0,130,2025-12-31
031210,KOSPI,"보증보험, 신용보험 등",서울보증보험,3509200000000.0,131,2025-12-31
018880,KOSPI,"자동차용부품(라디에이터,히터,에어콘,압축기,콘덴서,컴퓨레사) 제조,도매",한온시스템,3470700000000.0,132,2025-12-31
240810,KOSDAQ,Technology,원익IPS,3332796877900.0,133,2025-12-31
011780,KOSPI,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",금호석유화학,3176300000000.0,134,2025-12-31
097950,KOSPI,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",CJ제일제당,3158500000000.0,135,2025-12-31
011170,KOSPI,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",롯데케미칼,3136500000000.0,136,2025-12-31
071970,KOSPI,"조선기자재, 기계부품",HD현대마린엔진,2921100000000.0,137,2025-12-31
004990,KOSPI,지주회사,롯데지주,2917500000000.0,138,2025-12-31
103140,KOSPI,1차 비철금속 제조업,풍산,2888600000000.0,139,2025-12-31
012750,KOSPI,"부가통신 서비스(경비),안전관리용역,CCTV카메라",에스원,2885500000000.0,140,2025-12-31
000990,KOSPI,반도체 제조,DB하이텍,2878200000000.0,141,2025-12-31
383220,KOSPI,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",F&F,2843500000000.0,142,2025-12-31
145020,KOSDAQ,Healthcare,휴젤,2836079606500.0,143,2025-12-31
026960,KOSPI,"식품 유통, 다류 및 연포장재 제조 등",동서,2808700000000.0,144,2025-12-31
439260,KOSPI,선박 및 보트 건조업,대한조선,2806700000000.0,145,2025-12-31
088350,KOSPI,생명보험,한화생명,2739400000000.0,146,2025-12-31
068760,KOSDAQ,고덱스 캡슐 외,셀트리온제약,2717300000000.0,147,2025-12-31
001450,KOSPI,손해보험(자동차보험),현대해상,2691600000000.0,148,2025-12-31
