ticker,corp_code,market,name,first_month,last_month,months_in_universe
011000,00118521,KOSPI,,2020-02,2023-11,46
011040,00101549,KOSDAQ,,2020-08,2020-12,5
011080,00142713,KOSDAQ,,2025-05,2025-08,4
011090,00139764,KOSPI,,2019-01,2022-05,20
011150,00129013,KOSPI,,2019-04,2024-11,28
011230,00129280,KOSPI,,2023-05,2024-04,12
011280,00153524,KOSPI,,2019-05,2021-04,20
011320,00147152,KOSDAQ,,2019-01,2021-03,27
011370,00131504,KOSDAQ,,2021-07,2021-11,5
011390,00124027,KOSPI,,2019-01,2020-08,20
011500,00160861,KOSPI,,2021-03,2025-06,28
0115H0,01957909,KOSDAQ,,2026-01,2026-03,3
011700,00162072,KOSPI,,2021-09,2023-06,22
011760,00164812,KOSPI,,2019-01,2019-11,11
011810,00138297,KOSPI,,2022-11,2024-07,21
011930,00136271,KOSPI,,2020-08,2026-06,44
012030,00163345,KOSPI,,2023-04,2023-09,6
0120G0,01965333,KOSPI,,2025-11,2026-06,8
012170,00145437,KOSPI,,2024-04,2024-07,4
012200,00102618,KOSPI,,2026-01,2026-06,6
012210,00125664,KOSDAQ,,2025-12,2026-06,7
012320,00143527,KOSPI,,2022-12,2024-01,14
012510,00172291,KOSPI,,2019-01,2026-06,90
012610,00102113,KOSPI,,2019-07,2020-10,16
012630,00164636,KOSPI,,2019-01,2021-09,33
012690,00173102,KOSPI,,2019-01,2020-11,18
012700,00117708,KOSDAQ,,2019-09,2020-02,6
012790,00137058,KOSDAQ,,2020-07,2021-02,8
012800,00112651,KOSPI,,2019-05,2023-10,24
012860,00137234,KOSDAQ,,2023-05,2026-06,11
0129K0,01963140,KOSDAQ,,2026-04,2026-05,2
013000,00134176,KOSPI,,2019-01,2020-07,19
0130D0,01963520,KOSDAQ,,2026-04,2026-05,2
0130H0,01965698,KOSDAQ,,2026-04,2026-05,2
0131D0,01964246,KOSDAQ,,2026-06,2026-06,1
013310,00139083,KOSDAQ,,2019-07,2024-01,18
013360,00146232,KOSPI,,2021-09,2023-02,18
013570,00117179,KOSPI,,2022-02,2022-10,9
013580,00102432,KOSPI,,2025-04,2025-08,5
013700,00129420,KOSPI,,2020-01,2022-05,18
013810,00136165,KOSDAQ,,2020-01,2025-01,20
013870,00156354,KOSPI,,2019-01,2019-06,6
013890,00150633,KOSPI,,2019-10,2022-09,36
