ticker,as_of,source
IART,2022-01-31,wikipedia_sp400_pit
IBKR,2022-01-31,wikipedia_sp400_pit
IBOC,2022-01-31,wikipedia_sp400_pit
ICUI,2022-01-31,wikipedia_sp400_pit
IDA,2022-01-31,wikipedia_sp400_pit
INGR,2022-01-31,wikipedia_sp400_pit
IRDM,2022-01-31,wikipedia_sp400_pit
ITT,2022-01-31,wikipedia_sp400_pit
JACK,2022-01-31,wikipedia_sp400_pit
JAZZ,2022-01-31,wikipedia_sp400_pit
JBGS,2022-01-31,wikipedia_sp400_pit
JBL,2022-01-31,wikipedia_sp400_pit
JBLU,2022-01-31,wikipedia_sp400_pit
JEF,2022-01-31,wikipedia_sp400_pit
JHG,2022-01-31,wikipedia_sp400_pit
JLL,2022-01-31,wikipedia_sp400_pit
JWN,2022-01-31,wikipedia_sp400_pit
KBH,2022-01-31,wikipedia_sp400_pit
KBR,2022-01-31,wikipedia_sp400_pit
KD,2022-01-31,wikipedia_sp400_pit
KEX,2022-01-31,wikipedia_sp400_pit
KMPR,2022-01-31,wikipedia_sp400_pit
KMT,2022-01-31,wikipedia_sp400_pit
KNSL,2022-01-31,wikipedia_sp400_pit
KNX,2022-01-31,wikipedia_sp400_pit
KRC,2022-01-31,wikipedia_sp400_pit
KRG,2022-01-31,wikipedia_sp400_pit
KSS,2022-01-31,wikipedia_sp400_pit
LAD,2022-01-31,wikipedia_sp400_pit
LAMR,2022-01-31,wikipedia_sp400_pit
LEA,2022-01-31,wikipedia_sp400_pit
LECO,2022-01-31,wikipedia_sp400_pit
LEG,2022-01-31,wikipedia_sp400_pit
LFUS,2022-01-31,wikipedia_sp400_pit
LHCG,2022-01-31,wikipedia_sp400_pit
LII,2022-01-31,wikipedia_sp400_pit
LITE,2022-01-31,wikipedia_sp400_pit
LIVN,2022-01-31,wikipedia_sp400_pit
LNW,2022-01-31,wikipedia_sp400_pit
LOPE,2022-01-31,wikipedia_sp400_pit
LPX,2022-01-31,wikipedia_sp400_pit
LSCC,2022-01-31,wikipedia_sp400_pit
LSI,2022-01-31,wikipedia_sp400_pit
LSTR,2022-01-31,wikipedia_sp400_pit
M,2022-01-31,wikipedia_sp400_pit
MAC,2022-01-31,wikipedia_sp400_pit
MAN,2022-01-31,wikipedia_sp400_pit
MANH,2022-01-31,wikipedia_sp400_pit
MASI,2022-01-31,wikipedia_sp400_pit
MAT,2022-01-31,wikipedia_sp400_pit
MCY,2022-01-31,wikipedia_sp400_pit
MDU,2022-01-31,wikipedia_sp400_pit
MEDP,2022-01-31,wikipedia_sp400_pit
MIDD,2022-01-31,wikipedia_sp400_pit
MIME,2022-01-31,wikipedia_sp400_pit
MKSI,2022-01-31,wikipedia_sp400_pit
MLKN,2022-01-31,wikipedia_sp400_pit
MMS,2022-01-31,wikipedia_sp400_pit
MODG,2022-01-31,wikipedia_sp400_pit
MOH,2022-01-31,wikipedia_sp400_pit
MPW,2022-01-31,wikipedia_sp400_pit
MRCY,2022-01-31,wikipedia_sp400_pit
MSA,2022-01-31,wikipedia_sp400_pit
MSM,2022-01-31,wikipedia_sp400_pit
MTG,2022-01-31,wikipedia_sp400_pit
MTX,2022-01-31,wikipedia_sp400_pit
MTZ,2022-01-31,wikipedia_sp400_pit
MUR,2022-01-31,wikipedia_sp400_pit
MUSA,2022-01-31,wikipedia_sp400_pit
MZTI,2022-01-31,wikipedia_sp400_pit
NATI,2022-01-31,wikipedia_sp400_pit
NAVI,2022-01-31,wikipedia_sp400_pit
NBIX,2022-01-31,wikipedia_sp400_pit
NDSN,2022-01-31,wikipedia_sp400_pit
NEOG,2022-01-31,wikipedia_sp400_pit
NEU,2022-01-31,wikipedia_sp400_pit
NFG,2022-01-31,wikipedia_sp400_pit
NGVT,2022-01-31,wikipedia_sp400_pit
NJR,2022-01-31,wikipedia_sp400_pit
NNN,2022-01-31,wikipedia_sp400_pit
NOV,2022-01-31,wikipedia_sp400_pit
NSA,2022-01-31,wikipedia_sp400_pit
NSP,2022-01-31,wikipedia_sp400_pit
NUS,2022-01-31,wikipedia_sp400_pit
NUVA,2022-01-31,wikipedia_sp400_pit
NVST,2022-01-31,wikipedia_sp400_pit
NVT,2022-01-31,wikipedia_sp400_pit
NWE,2022-01-31,wikipedia_sp400_pit
NYT,2022-01-31,wikipedia_sp400_pit
OC,2022-01-31,wikipedia_sp400_pit
OGE,2022-01-31,wikipedia_sp400_pit
OGS,2022-01-31,wikipedia_sp400_pit
OHI,2022-01-31,wikipedia_sp400_pit
OLED,2022-01-31,wikipedia_sp400_pit
OLLI,2022-01-31,wikipedia_sp400_pit
OLN,2022-01-31,wikipedia_sp400_pit
OPCH,2022-01-31,wikipedia_sp400_pit
ORI,2022-01-31,wikipedia_sp400_pit
OSK,2022-01-31,wikipedia_sp400_pit
OZK,2022-01-31,wikipedia_sp400_pit
P,2022-01-31,wikipedia_sp400_pit
PACW,2022-01-31,wikipedia_sp400_pit
PB,2022-01-31,wikipedia_sp400_pit
PCH,2022-01-31,wikipedia_sp400_pit
PCTY,2022-01-31,wikipedia_sp400_pit
PDCO,2022-01-31,wikipedia_sp400_pit
PEB,2022-01-31,wikipedia_sp400_pit
PEN,2022-01-31,wikipedia_sp400_pit
PFGC,2022-01-31,wikipedia_sp400_pit
PGNY,2022-01-31,wikipedia_sp400_pit
PII,2022-01-31,wikipedia_sp400_pit
PK,2022-01-31,wikipedia_sp400_pit
PNFP,2022-01-31,wikipedia_sp400_pit
POST,2022-01-31,wikipedia_sp400_pit
POWI,2022-01-31,wikipedia_sp400_pit
PPC,2022-01-31,wikipedia_sp400_pit
PRG,2022-01-31,wikipedia_sp400_pit
PRGO,2022-01-31,wikipedia_sp400_pit
PRI,2022-01-31,wikipedia_sp400_pit
PSB,2022-01-31,wikipedia_sp400_pit
PZZA,2022-01-31,wikipedia_sp400_pit
QDEL,2022-01-31,wikipedia_sp400_pit
QLYS,2022-01-31,wikipedia_sp400_pit
R,2022-01-31,wikipedia_sp400_pit
RAMP,2022-01-31,wikipedia_sp400_pit
RCM,2022-01-31,wikipedia_sp400_pit
REXR,2022-01-31,wikipedia_sp400_pit
RGA,2022-01-31,wikipedia_sp400_pit
RGEN,2022-01-31,wikipedia_sp400_pit
RGLD,2022-01-31,wikipedia_sp400_pit
RH,2022-01-31,wikipedia_sp400_pit
RLI,2022-01-31,wikipedia_sp400_pit
RNR,2022-01-31,wikipedia_sp400_pit
RPM,2022-01-31,wikipedia_sp400_pit
RRX,2022-01-31,wikipedia_sp400_pit
RS,2022-01-31,wikipedia_sp400_pit
RUN,2022-01-31,wikipedia_sp400_pit
RYN,2022-01-31,wikipedia_sp400_pit
SABR,2022-01-31,wikipedia_sp400_pit
SAFM,2022-01-31,wikipedia_sp400_pit
SAIA,2022-01-31,wikipedia_sp400_pit
SAIC,2022-01-31,wikipedia_sp400_pit
SAIL,2022-01-31,wikipedia_sp400_pit
SAM,2022-01-31,wikipedia_sp400_pit
SBRA,2022-01-31,wikipedia_sp400_pit
SCI,2022-01-31,wikipedia_sp400_pit
SEIC,2022-01-31,wikipedia_sp400_pit
SF,2022-01-31,wikipedia_sp400_pit
SFM,2022-01-31,wikipedia_sp400_pit
SGI,2022-01-31,wikipedia_sp400_pit
SIGI,2022-01-31,wikipedia_sp400_pit
SITM,2022-01-31,wikipedia_sp400_pit
SIX,2022-01-31,wikipedia_sp400_pit
SKX,2022-01-31,wikipedia_sp400_pit
SLAB,2022-01-31,wikipedia_sp400_pit
SLG,2022-01-31,wikipedia_sp400_pit
SLGN,2022-01-31,wikipedia_sp400_pit
SLM,2022-01-31,wikipedia_sp400_pit
SMG,2022-01-31,wikipedia_sp400_pit
SMTC,2022-01-31,wikipedia_sp400_pit
SNV,2022-01-31,wikipedia_sp400_pit
SNX,2022-01-31,wikipedia_sp400_pit
SON,2022-01-31,wikipedia_sp400_pit
SPWR,2022-01-31,wikipedia_sp400_pit
SR,2022-01-31,wikipedia_sp400_pit
SRC,2022-01-31,wikipedia_sp400_pit
SRCL,2022-01-31,wikipedia_sp400_pit
SSD,2022-01-31,wikipedia_sp400_pit
STAA,2022-01-31,wikipedia_sp400_pit
STL,2022-01-31,wikipedia_sp400_pit
STLD,2022-01-31,wikipedia_sp400_pit
STOR,2022-01-31,wikipedia_sp400_pit
SWX,2022-01-31,wikipedia_sp400_pit
SXT,2022-01-31,wikipedia_sp400_pit
SYNA,2022-01-31,wikipedia_sp400_pit
SYNH,2022-01-31,wikipedia_sp400_pit
TCBI,2022-01-31,wikipedia_sp400_pit
TDC,2022-01-31,wikipedia_sp400_pit
TEX,2022-01-31,wikipedia_sp400_pit
TGNA,2022-01-31,wikipedia_sp400_pit
THC,2022-01-31,wikipedia_sp400_pit
THG,2022-01-31,wikipedia_sp400_pit
THO,2022-01-31,wikipedia_sp400_pit
TKO,2022-01-31,wikipedia_sp400_pit
TKR,2022-01-31,wikipedia_sp400_pit
TMHC,2022-01-31,wikipedia_sp400_pit
TNDM,2022-01-31,wikipedia_sp400_pit
TNL,2022-01-31,wikipedia_sp400_pit
TOL,2022-01-31,wikipedia_sp400_pit
TPH,2022-01-31,wikipedia_sp400_pit
TREX,2022-01-31,wikipedia_sp400_pit
TRGP,2022-01-31,wikipedia_sp400_pit
TRIP,2022-01-31,wikipedia_sp400_pit
TRN,2022-01-31,wikipedia_sp400_pit
TTC,2022-01-31,wikipedia_sp400_pit
TTEK,2022-01-31,wikipedia_sp400_pit
TXNM,2022-01-31,wikipedia_sp400_pit
TXRH,2022-01-31,wikipedia_sp400_pit
UAA/UA,2022-01-31,wikipedia_sp400_pit
UBSI,2022-01-31,wikipedia_sp400_pit
UE,2022-01-31,wikipedia_sp400_pit
UGI,2022-01-31,wikipedia_sp400_pit
UMBF,2022-01-31,wikipedia_sp400_pit
UMPQ,2022-01-31,wikipedia_sp400_pit
UNM,2022-01-31,wikipedia_sp400_pit
UNVR,2022-01-31,wikipedia_sp400_pit
URBN,2022-01-31,wikipedia_sp400_pit
UTHR,2022-01-31,wikipedia_sp400_pit
VAC,2022-01-31,wikipedia_sp400_pit
VC,2022-01-31,wikipedia_sp400_pit
VICR,2022-01-31,wikipedia_sp400_pit
VLY,2022-01-31,wikipedia_sp400_pit
VMI,2022-01-31,wikipedia_sp400_pit
VNT,2022-01-31,wikipedia_sp400_pit
VOYA,2022-01-31,wikipedia_sp400_pit
VSAT,2022-01-31,wikipedia_sp400_pit
VSCO,2022-01-31,wikipedia_sp400_pit
VSH,2022-01-31,wikipedia_sp400_pit
VVV,2022-01-31,wikipedia_sp400_pit
VYX,2022-01-31,wikipedia_sp400_pit
WAFD,2022-01-31,wikipedia_sp400_pit
WBS,2022-01-31,wikipedia_sp400_pit
WEN,2022-01-31,wikipedia_sp400_pit
WERN,2022-01-31,wikipedia_sp400_pit
WEX,2022-01-31,wikipedia_sp400_pit
WH,2022-01-31,wikipedia_sp400_pit
WING,2022-01-31,wikipedia_sp400_pit
WLY,2022-01-31,wikipedia_sp400_pit
WOLF,2022-01-31,wikipedia_sp400_pit
WOR,2022-01-31,wikipedia_sp400_pit
WSM,2022-01-31,wikipedia_sp400_pit
WSO,2022-01-31,wikipedia_sp400_pit
WTFC,2022-01-31,wikipedia_sp400_pit
WTRG,2022-01-31,wikipedia_sp400_pit
WU,2022-01-31,wikipedia_sp400_pit
WWD,2022-01-31,wikipedia_sp400_pit
X,2022-01-31,wikipedia_sp400_pit
XPO,2022-01-31,wikipedia_sp400_pit
XRX,2022-01-31,wikipedia_sp400_pit
Y,2022-01-31,wikipedia_sp400_pit
YELP,2022-01-31,wikipedia_sp400_pit
YETI,2022-01-31,wikipedia_sp400_pit
ZD,2022-01-31,wikipedia_sp400_pit
