ticker,as_of,source
SFM,2019-10-31,wikipedia_sp400_pit
SGI,2019-10-31,wikipedia_sp400_pit
SIGI,2019-10-31,wikipedia_sp400_pit
SIX,2019-10-31,wikipedia_sp400_pit
SKT,2019-10-31,wikipedia_sp400_pit
SKX,2019-10-31,wikipedia_sp400_pit
SLAB,2019-10-31,wikipedia_sp400_pit
SLGN,2019-10-31,wikipedia_sp400_pit
SLM,2019-10-31,wikipedia_sp400_pit
SMG,2019-10-31,wikipedia_sp400_pit
SMTC,2019-10-31,wikipedia_sp400_pit
SNV,2019-10-31,wikipedia_sp400_pit
SNX,2019-10-31,wikipedia_sp400_pit
SON,2019-10-31,wikipedia_sp400_pit
SR,2019-10-31,wikipedia_sp400_pit
SRC,2019-10-31,wikipedia_sp400_pit
SRCL,2019-10-31,wikipedia_sp400_pit
STE,2019-10-31,wikipedia_sp400_pit
STL,2019-10-31,wikipedia_sp400_pit
STLD,2019-10-31,wikipedia_sp400_pit
SVC,2019-10-31,wikipedia_sp400_pit
SWN,2019-10-31,wikipedia_sp400_pit
SWX,2019-10-31,wikipedia_sp400_pit
SXT,2019-10-31,wikipedia_sp400_pit
SYNA,2019-10-31,wikipedia_sp400_pit
SYNH,2019-10-31,wikipedia_sp400_pit
TCBI,2019-10-31,wikipedia_sp400_pit
TCF,2019-10-31,wikipedia_sp400_pit
TCO,2019-10-31,wikipedia_sp400_pit
TDC,2019-10-31,wikipedia_sp400_pit
TDS,2019-10-31,wikipedia_sp400_pit
TDY,2019-10-31,wikipedia_sp400_pit
TECD,2019-10-31,wikipedia_sp400_pit
TECH,2019-10-31,wikipedia_sp400_pit
TER,2019-10-31,wikipedia_sp400_pit
TEX,2019-10-31,wikipedia_sp400_pit
TGNA,2019-10-31,wikipedia_sp400_pit
THC,2019-10-31,wikipedia_sp400_pit
THG,2019-10-31,wikipedia_sp400_pit
THO,2019-10-31,wikipedia_sp400_pit
THS,2019-10-31,wikipedia_sp400_pit
TKO,2019-10-31,wikipedia_sp400_pit
TKR,2019-10-31,wikipedia_sp400_pit
TNL,2019-10-31,wikipedia_sp400_pit
TOL,2019-10-31,wikipedia_sp400_pit
TPH,2019-10-31,wikipedia_sp400_pit
TR,2019-10-31,wikipedia_sp400_pit
TREE,2019-10-31,wikipedia_sp400_pit
TREX,2019-10-31,wikipedia_sp400_pit
TRMB,2019-10-31,wikipedia_sp400_pit
TRMK,2019-10-31,wikipedia_sp400_pit
TRN,2019-10-31,wikipedia_sp400_pit
TTC,2019-10-31,wikipedia_sp400_pit
TTEK,2019-10-31,wikipedia_sp400_pit
TXNM,2019-10-31,wikipedia_sp400_pit
TXRH,2019-10-31,wikipedia_sp400_pit
TYL,2019-10-31,wikipedia_sp400_pit
UAA/UA,2019-10-31,wikipedia_sp400_pit
UBSI,2019-10-31,wikipedia_sp400_pit
UE,2019-10-31,wikipedia_sp400_pit
UFS,2019-10-31,wikipedia_sp400_pit
UGI,2019-10-31,wikipedia_sp400_pit
UMBF,2019-10-31,wikipedia_sp400_pit
UMPQ,2019-10-31,wikipedia_sp400_pit
UNIT,2019-10-31,wikipedia_sp400_pit
URBN,2019-10-31,wikipedia_sp400_pit
UTHR,2019-10-31,wikipedia_sp400_pit
VAC,2019-10-31,wikipedia_sp400_pit
VC,2019-10-31,wikipedia_sp400_pit
VLY,2019-10-31,wikipedia_sp400_pit
VMI,2019-10-31,wikipedia_sp400_pit
VSAT,2019-10-31,wikipedia_sp400_pit
VSH,2019-10-31,wikipedia_sp400_pit
VVV,2019-10-31,wikipedia_sp400_pit
VYX,2019-10-31,wikipedia_sp400_pit
WAFD,2019-10-31,wikipedia_sp400_pit
WBS,2019-10-31,wikipedia_sp400_pit
WEN,2019-10-31,wikipedia_sp400_pit
WERN,2019-10-31,wikipedia_sp400_pit
WEX,2019-10-31,wikipedia_sp400_pit
WH,2019-10-31,wikipedia_sp400_pit
WLY,2019-10-31,wikipedia_sp400_pit
WOLF,2019-10-31,wikipedia_sp400_pit
WOR,2019-10-31,wikipedia_sp400_pit
WPX,2019-10-31,wikipedia_sp400_pit
WRB,2019-10-31,wikipedia_sp400_pit
WRI,2019-10-31,wikipedia_sp400_pit
WSM,2019-10-31,wikipedia_sp400_pit
WSO,2019-10-31,wikipedia_sp400_pit
WST,2019-10-31,wikipedia_sp400_pit
WTFC,2019-10-31,wikipedia_sp400_pit
WTRG,2019-10-31,wikipedia_sp400_pit
WW,2019-10-31,wikipedia_sp400_pit
WWD,2019-10-31,wikipedia_sp400_pit
X,2019-10-31,wikipedia_sp400_pit
XPO,2019-10-31,wikipedia_sp400_pit
Y,2019-10-31,wikipedia_sp400_pit
YELP,2019-10-31,wikipedia_sp400_pit
ZBRA,2019-10-31,wikipedia_sp400_pit
ZD,2019-10-31,wikipedia_sp400_pit
